mutantIndex;mutantType;copyingTime;mutationTime;buildingTime
1;2;25492;0;0
2;5;36468;0;0
3;1;51618;0;0
4;3;39199;0;0
5;5;39804;0;0
1;2;0;31;198469
6;5;45100;0;0
2;5;0;1195;180659
7;5;33555;0;0
3;1;0;9;164521
8;5;37496;0;0
4;3;0;8;160760
9;5;36683;0;0
5;5;0;8;163072
10;5;41750;0;0
6;5;0;29;167368
11;5;36639;0;0
7;5;0;14;163059
12;5;27140;0;0
8;5;0;7;147376
13;5;26048;0;0
9;5;0;12;147718
14;5;28713;0;0
10;5;0;10;138333
15;5;37253;0;0
11;5;0;8;130092
16;5;32504;0;0
12;5;0;11;134011
17;5;25864;0;0
13;5;0;12;136546
18;5;26533;0;0
14;5;0;5;141808
19;1;29528;0;0
15;5;0;9;128818
20;1;31393;0;0
16;5;0;4;127470
21;1;33342;0;0
17;5;0;5;134810
22;1;29749;0;0
18;5;0;4;151173
23;1;46637;0;0
19;1;0;6;152695
24;1;31936;0;0
20;1;0;5;151421
25;1;30063;0;0
21;1;0;29;154870
26;1;31131;0;0
22;1;0;10;168698
27;1;37585;0;0
23;1;0;6;161258
28;1;37900;0;0
24;1;0;4;160831
29;1;33249;0;0
25;1;0;4;160346
30;1;28038;0;0
26;1;0;62;157286
31;1;28687;0;0
27;1;0;5;146799
32;1;28539;0;0
28;1;0;4;136103
33;1;27238;0;0
29;1;0;5;124702
34;1;27046;0;0
30;1;0;14;123854
35;1;30468;0;0
31;1;0;10;127212
36;1;28384;0;0
32;1;0;13;128058
37;1;29750;0;0
33;1;0;44;132504
38;1;29676;0;0
34;1;0;13;133836
39;1;27629;0;0
35;1;0;22;124902
40;1;26610;0;0
36;1;0;5;128222
41;1;27356;0;0
37;1;0;4;123842
42;1;27743;0;0
38;1;0;5;127890
43;1;27439;0;0
39;1;0;6;125595
44;1;27752;0;0
40;1;0;4;125720
45;1;28445;0;0
41;1;0;4;127599
46;1;27669;0;0
42;1;0;5;125926
47;1;26968;0;0
43;1;0;4;125210
48;1;27050;0;0
44;1;0;22;124189
49;1;29222;0;0
45;1;0;4;129468
50;1;29775;0;0
46;1;0;4;133374
47;1;0;4;123424
48;1;0;4;117907
49;1;0;5;107618
50;1;0;4;90757
